"","grp","var1","var2","vcov","sdcor","proportion","trait"
"k.1","Name:Expt","(Intercept)",NA,0.0146802979336129,0.121162279334836,12.6439434444167,"k"
"k.2","Name","(Intercept)",NA,0.0351574942168424,0.187503317882224,30.2806775813003,"k"
"k.3","Expt:Rep","(Intercept)",NA,0.0112865039628247,0.106237959142788,9.72091427820359,"k"
"k.4","Residual",NA,NA,0.0549810787497771,0.234480444280066,47.3544646960795,"k"
"auc.l.1","Name:Expt","(Intercept)",NA,130.832939864778,11.4382227581377,20.0428740891578,"auc.l"
"auc.l.2","Name","(Intercept)",NA,163.686245314131,12.7939925478379,25.0758165974785,"auc.l"
"auc.l.3","Expt:Rep","(Intercept)",NA,59.4585150150697,7.71093476921376,9.10871169911059,"auc.l"
"auc.l.4","Residual",NA,NA,298.787663110642,17.2854754956478,45.7725976142532,"auc.l"
"g.r.1","Name:Expt","(Intercept)",NA,2.8264970349747e-05,0.00531648101188624,13.6677315909924,"g.r"
"g.r.2","Name","(Intercept)",NA,4.11634531310746e-05,0.00641587508692888,19.9048865713373,"g.r"
"g.r.3","Expt:Rep","(Intercept)",NA,3.6309483673451e-06,0.001905504753955,1.75577144046321,"g.r"
"g.r.4","Residual",NA,NA,0.000133741370188461,0.0115646604009137,64.6716103972071,"g.r"
"x.mid.1","Name:Expt","(Intercept)",NA,4.21959396023221,2.05416502750685,21.6421118428622,"x.mid"
"x.mid.2","Name","(Intercept)",NA,2.86237783410624,1.69185632785596,14.6810100227861,"x.mid"
"x.mid.3","Expt:Rep","(Intercept)",NA,2.2273662587178,1.49243634997202,11.4240635806426,"x.mid"
"x.mid.4","Residual",NA,NA,10.1878071001968,3.19183444122604,52.2528145537091,"x.mid"
"x.d.1","Name:Expt","(Intercept)",NA,4.62379277030972,2.15030062324079,16.5942559966079,"x.d"
"x.d.2","Name","(Intercept)",NA,0.385469232489789,0.620861685474139,1.38340436963897,"x.d"
"x.d.3","Expt:Rep","(Intercept)",NA,1.90990808885962,1.38199424342492,6.85443862450735,"x.d"
"x.d.4","Residual",NA,NA,20.9446447805164,4.57653195995793,75.1679010092458,"x.d"
