"","grp","var1","var2","vcov","sdcor","proportion","trait"
"k.1","Name:Expt","(Intercept)",NA,0.000592380412916633,0.0243388663030272,23.93142710191,"k"
"k.2","Name","(Intercept)",NA,0.00121371757989274,0.0348384497343486,49.0326708178945,"k"
"k.3","Expt:Rep","(Intercept)",NA,7.76373603345555e-05,0.0088112065197994,3.13645216607223,"k"
"k.4","Residual",NA,NA,0.000591588873840238,0.0243226000633205,23.8994499141233,"k"
"auc.l.1","Name:Expt","(Intercept)",NA,2.36233816285073,1.53698996836373,22.8856391126594,"auc.l"
"auc.l.2","Name","(Intercept)",NA,3.65044891377051,1.91061479994543,35.3644781909365,"auc.l"
"auc.l.3","Expt:Rep","(Intercept)",NA,0.473845429773709,0.688364314715477,4.5904755176532,"auc.l"
"auc.l.4","Residual",NA,NA,3.83572795389903,1.95850145619017,37.1594071787509,"auc.l"
"g.r.1","Name:Expt","(Intercept)",NA,3.09356220017372e-07,0.000556198004327031,14.5127825331377,"g.r"
"g.r.2","Name","(Intercept)",NA,5.18101145797265e-07,0.000719792432439564,24.3056023205317,"g.r"
"g.r.3","Expt:Rep","(Intercept)",NA,4.53732070555603e-07,0.000673596370652042,21.285865426963,"g.r"
"g.r.4","Residual",NA,NA,8.50422605021587e-07,0.000922183607001115,39.8957497193677,"g.r"
"x.mid.1","Name:Expt","(Intercept)",NA,3.69664967294492,1.92266733288547,16.4131013940955,"x.mid"
"x.mid.2","Name","(Intercept)",NA,9.47676187461415,3.07843497163967,42.0767633660638,"x.mid"
"x.mid.3","Expt:Rep","(Intercept)",NA,1.24794548312898,1.11711480302115,5.54087012864869,"x.mid"
"x.mid.4","Residual",NA,NA,8.101197264107,2.84626022424286,35.969265111192,"x.mid"
"x.d.1","Name:Expt","(Intercept)",NA,7.93719575437522,2.81730292201162,14.0814853174078,"x.d"
"x.d.2","Name","(Intercept)",NA,2.99320903304099,1.73008931360233,5.31029224363847,"x.d"
"x.d.3","Expt:Rep","(Intercept)",NA,15.510595432174,3.9383493283575,27.5175551418162,"x.d"
"x.d.4","Residual",NA,NA,29.9251825762199,5.47039144634275,53.0906672971376,"x.d"
