"","grp","var1","var2","vcov","sdcor","proportion","trait"
"k.1","Name:Expt","(Intercept)",NA,0.00300884079770583,0.0548529014520274,17.2685183036245,"k"
"k.2","Name","(Intercept)",NA,0.00783039170954135,0.0884895005610347,44.9406504537781,"k"
"k.3","Expt:Rep","(Intercept)",NA,0.000870917843785068,0.0295113172153509,4.99842355827629,"k"
"k.4","Residual",NA,NA,0.00571370006162474,0.0755890207743475,32.7924076843211,"k"
"auc.l.1","Name:Expt","(Intercept)",NA,17.4716939147942,4.17991553919385,22.6744889416445,"auc.l"
"auc.l.2","Name","(Intercept)",NA,26.2530826967114,5.12377621454249,34.0708368744148,"auc.l"
"auc.l.3","Expt:Rep","(Intercept)",NA,3.91005701325879,1.97738640969811,5.07441035429678,"auc.l"
"auc.l.4","Residual",NA,NA,29.4195774349942,5.42398169567285,38.1802638296439,"auc.l"
"g.r.1","Name:Expt","(Intercept)",NA,1.01561084968718e-05,0.00318686499508087,23.1715036142391,"g.r"
"g.r.2","Name","(Intercept)",NA,1.54905113087812e-05,0.00393579868753233,35.3421233032704,"g.r"
"g.r.3","Expt:Rep","(Intercept)",NA,2.55763368830812e-06,0.00159926035663619,5.83532740623886,"g.r"
"g.r.4","Residual",NA,NA,1.56259124976441e-05,0.00395296249636195,35.6510456762516,"g.r"
"x.mid.1","Name:Expt","(Intercept)",NA,1.94744139452471,1.39550757594673,13.7424287884762,"x.mid"
"x.mid.2","Name","(Intercept)",NA,3.72012767123056,1.92876324913935,26.2516703966863,"x.mid"
"x.mid.3","Expt:Rep","(Intercept)",NA,2.45876502666066,1.56804496959132,17.350665022054,"x.mid"
"x.mid.4","Residual",NA,NA,6.04467908509273,2.45859290755764,42.6552357927834,"x.mid"
"x.d.1","Name:Expt","(Intercept)",NA,4.68260097087859,2.16393183138439,21.3035106847016,"x.d"
"x.d.2","Name","(Intercept)",NA,0.612449788932358,0.782591712793049,2.78634261247242,"x.d"
"x.d.3","Expt:Rep","(Intercept)",NA,0.619886288126877,0.787328576978429,2.82017499345736,"x.d"
"x.d.4","Residual",NA,NA,16.0654822368575,4.00817692185082,73.0899717093686,"x.d"
