"Name","It17_gc.a.at.DTF","It17_gc.a.at.DTM","It17_gc.a.perc.DTF","It17_gc.a.xmax.DTF","It17_gc.a.xmax.DTM","It17_gc.a.xmid.DTF","It17_gc.a.xmid.DTM","It17_gc.h.at.DTF","It17_gc.h.at.DTM","It17_gc.h.perc.DTF","It17_gc.h.xmax.DTF","It17_gc.h.xmax.DTM","It17_gc.h.xmid.DTF","It17_gc.h.xmid.DTM","It17_gc.v.at.DTF","It17_gc.v.at.DTM","It17_gc.v.perc.DTF","It17_gc.v.xmax.DTF","It17_gc.v.xmax.DTM","It17_gc.v.xmid.DTF","It17_gc.v.xmid.DTM"
"X3156.11_AGL",1.88857377097464,2.16152086740815,86.3447630098335,13.6666666666667,-15.6666666666667,-22.673187263082,-52.0065205964153,0.260631905331216,0.283325624098804,90.69367804921,10,-19.3333333333333,-32.668297511411,-62.0016308447443,0.561859003422237,0.608970703110951,92.0335186026682,3.33333333333333,-26,-17.49524400605,-46.8285773393833
"CDC_Asterix_AGL",1.71471183028202,1.98787591397197,85.5942267908602,12,-18,-18.0583311051623,-48.0583311051623,0.221076640392972,0.274253648320342,75.6617827155974,34.6666666666667,4.66666666666667,-21.3668017513833,-51.3668017513833,0.490676001030854,0.575994335349927,85.5068760273504,7.33333333333333,-22.6666666666667,-10.9553383966997,-40.9553383966997
"CDC_Cherie_AGL",1.41254206363754,1.79714474149849,81.469984808557,13.6666666666667,-22.3333333333333,-17.2981074012177,-53.2981074012177,0.242707308352801,0.275586570045087,86.7196998991758,14.3333333333333,-21.6666666666667,-23.72709655991,-59.72709655991,0.4111790649789,0.451248387391513,91.7619834617784,0.666666666666667,-35.3333333333333,-12.823295971195,-48.823295971195
"CDC_Glamis_AGL",1.43173216356793,1.63703968001338,87.2923256369822,13.3333333333333,-18,-23.7842420240857,-55.117575357419,0.241914965193581,0.263634225940675,91.3886423860934,6.66666666666667,-24.6666666666667,-33.1443863021043,-64.4777196354377,0.381027378047405,0.399614575703615,95.602772963722,-0.333333333333333,-31.6666666666667,-17.7647971527797,-49.098130486113
"CDC_Gold_AGL",1.49363239846799,1.48755402457186,96.1873161969314,-3.33333333333333,-31,-36.4908569719893,-67.1616877058335,0.275001949271607,0.291002310026953,95.2090828108522,0,-29,-36.3202140165363,-68.192865653892,0.435294618481468,0.418482809891971,99.815988150856,-14,-44.5,-26.1429940400703,-56.9166390324645
"CDC_Greenstar_AGL",1.72113818340672,2.03124315632942,83.4117112082839,16,-17.6666666666667,-20.5727318887403,-54.239398555407,0.262997889557355,0.291877432224442,89.3401286029779,10.6666666666667,-23,-27.0894416048607,-60.7561082715273,0.519756499502245,0.549612428243236,94.4875259383758,0.333333333333333,-33.3333333333333,-15.0780126961273,-48.744679362794
"CDC_Imax_AGL",1.6632772200075,1.91289838969046,85.8879306166395,15.3333333333333,-18.3333333333333,-22.95436448947,-56.6210311561367,0.248760307358784,0.28024318524309,87.827282236024,14.3333333333333,-19.3333333333333,-27.9847487784627,-61.6514154451293,0.456380200953102,0.467297530475807,97.7542566062527,-3.33333333333333,-37,-16.705141130626,-50.3718077972927
"CDC_Impower_AGL",1.68063250228882,1.89377450465348,95.0778267543876,-2.33333333333333,-30,-34.2531550188177,-62.870166941132,0.295436133008046,0.342859555127991,90.7267775735814,9.33333333333333,-23,-31.661877268199,-66.949446809544,0.564580753323073,0.617532933488342,99.0944669824461,-9.33333333333333,-42,-21.5924868525493,-54.874416969008
"CDC_KR.1_AGL",1.2561851210511,1.43104044517216,85.038889633918,13.6666666666667,-24,-20.4241720922583,-58.090838758925,0.237583775125028,0.284268203106497,82.1433568431677,18.3333333333333,-19.3333333333333,-19.9332134228983,-57.599880089565,0.367092861154178,0.403819238940067,88.7483443130871,2.66666666666667,-35,-11.0325364180373,-48.699203084704
"CDC_LeMay_AGL",1.74695043688369,2.04001653663232,85.7766129012861,11,-19.3333333333333,-20.4641018374083,-50.7974351707417,0.245261879385749,0.273286176165297,88.1144663902585,13.6666666666667,-16.6666666666667,-28.9894328562913,-59.3227661896247,0.496415187030188,0.513533991483871,96.3184702111977,-2.66666666666667,-33,-16.4530044507327,-46.786337784066
"CDC_Maxim_AGL",1.59344616626737,1.85899236691395,86.3568037548117,10.6666666666667,-23,-20.0234698722513,-53.690136538918,0.273702218473273,0.323683998637926,83.1800182782134,18.6666666666667,-15,-21.9686417872597,-55.6353084539263,0.53303745720568,0.611245938061772,89.1854993788345,3,-30.6666666666667,-12.171982132726,-45.8386487993927
"CDC_QG.1_AGL",1.75451113479921,2.07602332960004,83.6709577706012,15,-17.6666666666667,-20.9913845343307,-53.6580512009973,0.246055166934549,0.271181860480167,89.4433187783056,12.3333333333333,-20.3333333333333,-31.8787528330743,-64.545419499741,0.500014018445406,0.544638873679242,91.5061047712159,1,-31.6666666666667,-16.7463597323867,-49.4130263990533
"CDC_Red_Rider_AGL",1.99305704727183,2.45667931105317,80.1251176103031,20,-12.6666666666667,-17.920954502684,-50.5876211693507,0.26969704326421,0.302779432750705,88.0832553712014,13.3333333333333,-19.3333333333333,-28.5110148945393,-61.177681561206,0.638765822878284,0.69564328908762,91.9574601171097,3.33333333333333,-29.3333333333333,-14.3225034131923,-46.989170079859
"CDC_Redcoat_AGL",1.5544312006961,1.67950236592055,92.2215428303506,5,-27.3333333333333,-22.5095266603613,-54.8428599936947,0.285558945999218,0.35096982475448,78.9798787548289,24,-8.33333333333333,-18.6994516138973,-51.0327849472307,0.52651560660934,0.60717106190885,86.2780254801566,7.33333333333333,-25,-11.5683514963973,-43.9016848297307
"CDC_Redwing_AGL",1.33097122560273,1.39756201545154,95.0265132401586,0.333333333333333,-30.6666666666667,-25.7580047066937,-56.7580047066937,0.238671224582326,0.267600422815903,88.1294317260088,12.3333333333333,-18.6666666666667,-25.1347625000147,-56.1347625000147,0.374860514069884,0.379414332159979,98.7801664405392,-5,-36,-16.452958089732,-47.452958089732
"CDC_Robin_AGL",1.6268613323175,1.69047647854512,96.3953868978642,-3.66666666666667,-33,-30.3090050118907,-59.642338345224,0.258737418746293,0.287680079204725,88.6335215498019,12.6666666666667,-16.6666666666667,-27.9865233676147,-57.319856700948,0.479950927651723,0.485278819348106,98.883138504549,-6.33333333333333,-35.6666666666667,-20.2021606722127,-49.535494005546
"CDC_Rosebud_AGL",1.27641295504589,1.49667649599289,86.3558895488494,8.33333333333333,-29.3333333333333,-14.9656700696827,-52.6323367363493,0.211898503648028,0.270693986217915,76.5856253120786,25.3333333333333,-12.3333333333333,-16.4633199539073,-54.129986620574,0.329264635107648,0.414228743587354,80.2790081450752,8.33333333333333,-29.3333333333333,-8.18611282657201,-45.8527794932387
"CDC_Rosetown_AGL",1.70763985649191,2.34529643233312,71.9984487623568,25.3333333333333,-12.3333333333333,-11.8797166363977,-49.5463833030643,0.247932692666725,0.304375481672717,79.6431906076991,23.6666666666667,-14,-19.628228649326,-57.2948953159927,0.517222798541342,0.739233777261226,69.8280122001278,15.6666666666667,-22,-5.725179540967,-43.3918462076337
"CDC_Rosie_AGL",1.71997386733207,1.81677363602238,81.8293413521853,17.5,-15,-17.5501228065935,-47.564348645884,0.241826035506931,0.313408700550305,84.8257646204858,17,-3.66666666666667,-23.442113827956,-51.2022971689883,0.48904324481248,0.540022472780137,91.2773237469314,3.5,-26.6666666666667,-12.7939307652195,-42.543899643984
"CDC_Rouleau_AGL",1.79805061798429,2.15307434435036,83.270562239648,15,-19.3333333333333,-17.682103130045,-52.0154364633783,0.23955571789569,0.270154952539717,87.8163063648765,13,-21.3333333333333,-26.159902937586,-60.4932362709193,0.501461454614585,0.531950362481159,93.9265738946853,1.33333333333333,-33,-14.4107082525537,-48.744041585887
"CDC_Royale_AGL",1.81907513822254,1.91762136189239,94.558047810768,1,-28,-28.3177274873023,-57.3177274873023,0.262225821615326,0.293206780813395,87.6776961733098,14,-15,-27.37917998877,-56.37917998877,0.542120389076108,0.549716455170847,98.4471747495037,-5.66666666666667,-34.6666666666667,-18.4195786463583,-47.4195786463583
"CDC_Ruby_AGL",1.02078460263437,1.53939286509587,63.3753621186573,21,-13.3333333333333,-5.35036589463234,-39.6836992279657,0.198920536522211,0.265521821930649,70.8027413917605,34.3333333333333,0,-13.8327368466813,-48.1660701800147,0.239946723443255,0.438020012250877,52.7008058525627,15.6666666666667,-18.6666666666667,-0.916504853704007,-35.2498381870373
"CDC_SB.1_AGL",1.76502642576052,2.00452997065549,87.635263059955,11.6666666666667,-21.6666666666667,-21.4303824646013,-54.7637157979347,0.256875599211642,0.286996835365419,88.6575227595843,11.3333333333333,-22,-25.761474795612,-59.0948081289453,0.527040072193402,0.552471422899774,95.3933974971157,-0.333333333333333,-33.6666666666667,-15.32281506914,-48.6561484024733
"CDC_Sedley_AGL",1.52914372541066,1.71429388110002,88.3601495570129,11.6666666666667,-21.6666666666667,-24.311772134946,-57.6451054682793,0.267480275837143,0.301049508617605,87.4899815595176,13.3333333333333,-20,-27.5390692395143,-60.8724025728477,0.477885674182206,0.493329235468405,96.2827895072142,-2.33333333333333,-35.6666666666667,-15.5146643230513,-48.8479976563847
"CDC_Vantage_AGL",1.41146689378762,1.68450172400556,83.1060726755371,16,-23,-19.8307306032807,-58.8307306032807,0.249457572235152,0.285982986957517,86.6009767980043,12.6666666666667,-26.3333333333333,-21.6651752398143,-60.6651752398143,0.416651398399907,0.453665177423869,91.7293473757498,1,-38,-12.0292394845747,-51.0292394845747
"CN_105604_AGL",0.770646740762332,0.939384794486352,83.0511398574606,9.66666666666667,-19.6666666666667,-10.853845851852,-40.1871791851853,0.172645160927212,0.217394212087137,77.9151881897782,21.3333333333333,-8,-19.1573573785566,-48.49069071189,0.152853568301596,0.23064890843302,71.0801654487737,9,-20.3333333333333,-3.89066342668933,-33.2239967600227
"CN_105605_AGL",1.80198303109762,2.20257288926239,81.8590719836793,13.6666666666667,-14.3333333333333,-16.705864906573,-44.705864906573,0.215923668548582,0.250610476955977,83.5233404013887,21,-7,-25.458391801607,-53.458391801607,0.455736744698879,0.574331856702625,79.7047754288589,10.3333333333333,-17.6666666666667,-10.74372532323,-38.74372532323
"CN_105715_AGL",1.45843784375311,1.63532213552637,88.4884926044005,9.33333333333333,-18.6666666666667,-23.4610248592323,-51.4610248592323,0.224751013752644,0.253100008915909,86.5296064282516,17.3333333333333,-10.6666666666667,-28.967527892504,-56.967527892504,0.39040111028849,0.39748306110223,98.2556507519505,-4,-32,-15.938469195299,-43.938469195299
