"Name","Ro17_gc.a.auc.e","Ro17_gc.a.auc.l","Ro17_gc.a.b","Ro17_gc.a.g.b","Ro17_gc.a.g.r","Ro17_gc.a.k","Ro17_gc.a.r","Ro17_gc.a.x.d","Ro17_gc.a.x.gen","Ro17_gc.a.x.max","Ro17_gc.a.x.mid","Ro17_gc.a.x.min","Ro17_gc.h.auc.e","Ro17_gc.h.auc.l","Ro17_gc.h.b","Ro17_gc.h.g.b","Ro17_gc.h.g.r","Ro17_gc.h.k","Ro17_gc.h.r","Ro17_gc.h.x.d","Ro17_gc.h.x.gen","Ro17_gc.h.x.max","Ro17_gc.h.x.mid","Ro17_gc.h.x.min","Ro17_gc.v.auc.e","Ro17_gc.v.auc.l","Ro17_gc.v.b","Ro17_gc.v.g.b","Ro17_gc.v.g.r","Ro17_gc.v.k","Ro17_gc.v.r","Ro17_gc.v.x.d","Ro17_gc.v.x.gen","Ro17_gc.v.x.max","Ro17_gc.v.x.mid","Ro17_gc.v.x.min"
"X3156.11_AGL",96.9584892497319,94.8557466470925,-6.53395314591248,-2.01515180873578,0.0574225935590405,1.54302257716788,0.15036286734553,20.4228791024152,4.61534329100153,69,48.5771208975848,29.6666666666667,20.9568066636225,21.040977857661,-4.2297783024224,-0.19579188937267,0.00782770362428464,0.32982470252724,0.0953896999956115,31.2431735648995,7.2801040500361,77.3333333333333,46.0901597684338,15.3333333333333,28.0262936099458,27.6559170399189,-8.50494033539992,-0.844068332780591,0.0199109547509229,0.503374785863956,0.15903454246344,18.9127975666348,4.38130970317275,74,55.0872024333652,37
"CDC_Asterix_AGL",119.516409598495,116.546757057364,-7.35409787476594,-2.85879227218087,0.0803961064496557,1.8574939443421,0.175931662931485,17.4353960197506,3.98940104539853,64.6666666666667,47.2312706469161,30.6666666666667,20.208023889934,20.2289451130225,-5.04928322662849,-0.257728797985161,0.00881508903284452,0.325153936998054,0.109307779753462,27.2526209832781,6.36812863332959,75,47.7473790167219,21,34.1534374868256,33.3571647638958,-10.9690211815148,-1.37152975125349,0.0303907648279241,0.606406165092758,0.204447059412621,14.9845383334448,3.4095821257906,70,55.0154616665552,41.3333333333333
"CDC_Cherie_AGL",103.931337868935,101.103802507899,-7.41045531402697,-2.35669116036733,0.0690894148757099,1.57424483387938,0.18071805692516,17.0425000289062,3.94452336123144,62.6666666666667,45.6241666377604,29.6666666666667,21.0151271183789,21.1933380144786,-4.53940167638142,-0.213399039735302,0.00859490477631373,0.31843735487307,0.108685554833471,27.425423986453,6.38794561146076,70.6666666666667,43.2412426802136,16.6666666666667,29.905536546222,29.5752566516617,-8.31861826064927,-0.833123391517948,0.0208714069825881,0.511315433351045,0.165137470516316,18.4167382193814,4.19754958467554,70.3333333333333,51.916595113952,34.6666666666667
"CDC_Glamis_AGL",98.3101462182851,95.8257831807732,-9.80036798862183,-3.08364834972512,0.0840041750965089,1.4877285905143,0.231492425078689,13.4188278801088,3.01395668699668,59,45.5811721198912,33.3333333333333,16.8154547061275,17.0522797942187,-4.5899399694131,-0.160927703401367,0.00726706434779565,0.239513136488057,0.122261981273204,25.0424475584685,5.71394335775122,63.6666666666667,38.6242191081981,14.6666666666667,22.2306068910352,21.9181680808399,-10.2827300344309,-0.748732750342285,0.0187296974144982,0.363277195878128,0.210485515991573,14.6242848648182,3.29506809691826,64.3333333333333,49.7090484685152,36.3333333333333
"CDC_Gold_AGL",37.6064202033235,37.3253148382218,-6.74299174896947,-0.786366851402587,0.0217146195676688,0.633856690924196,0.139436362182275,22.3796456852677,5.19684969381365,73.3333333333333,50.9536876480656,29.3333333333333,15.6666383421173,15.7112295493233,-3.84783884644163,-0.125109460194491,0.00528945467623573,0.250892927195006,0.0842007492931615,35.6834003731032,8.31227905795011,82.6666666666667,46.9832662935635,14.3333333333333,8.13139832268503,8.17470073042675,-7.42192779240028,-0.224025238406906,0.00513369092505219,0.161270251218563,0.126556162801849,23.7458511466821,5.48481921909803,83,59.2541488533179,36.6666666666667
"CDC_Greenstar_AGL",97.6065535042667,95.0719342014952,-8.15887106137154,-2.52040546744589,0.0705640572137643,1.49394139448324,0.192445405546734,15.9940706397062,3.6250499219071,62.3333333333333,46.3392626936271,31.6666666666667,18.8935506221652,18.9419828760468,-5.00727000963887,-0.214860623655738,0.00855872847484378,0.277073108034488,0.124806083262559,25.1595916962357,5.75644180021336,66.6666666666667,41.5070749704309,17.6666666666667,24.9714710384942,24.6559510773847,-10.1897612046274,-0.844635404093717,0.0208866495267137,0.418091921596536,0.206873946447522,15.7955826420522,3.55390012735203,66.6666666666667,50.8710840246145,36.3333333333333
"CDC_Imax_AGL",83.0805275634925,81.7069394029158,-6.68628094608865,-1.6692220199111,0.0491325722515652,1.30030713722335,0.154693757239742,19.9723154301946,4.50729928891925,67.3333333333333,47.3610179031388,28.6666666666667,16.3115352426469,16.4345321390822,-4.98828095962504,-0.176156414415296,0.00755900218176522,0.230236700071653,0.132420069381685,22.7584859769996,5.28514167363207,61.3333333333333,38.5748473563338,16.6666666666667,18.43239923832,18.4274971945094,-8.60621339801078,-0.496993835515471,0.0129903068736314,0.307354184148622,0.173850334338583,17.3330287754955,4.00748909147174,67.6666666666667,50.3336378911712,33.6666666666667
"CDC_Impower_AGL",106.579136341927,103.524591635683,-7.51072451223853,-2.48411892777684,0.0721218124189281,1.61079872250149,0.182352441527846,16.9406775722501,3.83157634833334,62.6666666666667,45.7259890944165,29.6666666666667,21.7577111759037,21.7353636230991,-5.58350073890738,-0.297258015572798,0.0107462092586542,0.323705679971813,0.134501159183672,22.8571591684344,5.28555677313095,65.6666666666667,42.8095074982322,20.6666666666667,31.5638278727014,31.1111891986188,-9.81307021017108,-1.03605586282106,0.02583143618747,0.523656323820278,0.200471043106288,15.4137763841564,3.55711218297343,66,50.5862236158436,36
"CDC_KR.1_AGL",110.797427518065,108.491028366566,-9.6097644992761,-3.45214391764029,0.094518984769827,1.68478990936849,0.230100096289969,13.73063386814,3.0916051174954,59.3333333333333,45.6026994651934,33,22.0299736273289,22.2241577547599,-4.71929272063614,-0.247483372721792,0.00924681924438904,0.344185663336761,0.107979583831753,27.7066948728299,6.41956798147171,73,45.2933051271701,18.6666666666667,34.0021194552889,33.7301105136359,-8.59642155943463,-1.00110660626344,0.024627194831175,0.58744391498695,0.169289580272812,17.8124862033664,4.12227998355292,70.3333333333333,52.520847129967,35.6666666666667
"CDC_LeMay_AGL",95.3352032638823,93.0976042568068,-7.32856330819147,-2.22354912792526,0.0625576793607214,1.48800597479611,0.170057113978972,17.8675702401488,4.08177640620753,65.3333333333333,47.4657630931845,30.6666666666667,18.0928528740505,18.2428346295524,-4.80201320674454,-0.197111668873645,0.00778043208420983,0.271598915301748,0.11538881186953,26.2289615881783,6.04301775529713,69,42.7710384118217,17.6666666666667,23.3803802457692,23.0030022615806,-10.8522387497651,-0.879687571252529,0.020600789832898,0.399248104095443,0.211223502381519,14.3592141761104,3.30949119630285,66.6666666666667,52.3074524905562,38.6666666666667
