"Name","Ro17_gc.a.at.DTF","Ro17_gc.a.at.DTM","Ro17_gc.a.perc.DTF","Ro17_gc.a.xmax.DTF","Ro17_gc.a.xmax.DTM","Ro17_gc.a.xmid.DTF","Ro17_gc.a.xmid.DTM","Ro17_gc.h.at.DTF","Ro17_gc.h.at.DTM","Ro17_gc.h.perc.DTF","Ro17_gc.h.xmax.DTF","Ro17_gc.h.xmax.DTM","Ro17_gc.h.xmid.DTF","Ro17_gc.h.xmid.DTM","Ro17_gc.v.at.DTF","Ro17_gc.v.at.DTM","Ro17_gc.v.perc.DTF","Ro17_gc.v.xmax.DTF","Ro17_gc.v.xmax.DTM","Ro17_gc.v.xmid.DTF","Ro17_gc.v.xmid.DTM"
"X3156.11_AGL",1.00324898717532,NA,64.7477763915391,16.3333333333333,NA,-4.08954576908183,NA,0.214978897660624,NA,65.2223785199403,24.6666666666667,NA,-6.57650689823283,NA,0.205503636521288,NA,40.6881549256409,21.3333333333333,NA,2.4205357666985,NA
"CDC_Asterix_AGL",1.05006231123731,1.86555306950907,56.6109549680961,16,-12,-1.4353960197506,-30.6903372369864,0.171194919947124,0.299274396097906,52.7237586542377,26.3333333333333,-3,-0.91928764994473,-30.4360902397426,0.133062472436751,0.584678573024489,21.8957982803085,21.3333333333333,-9,6.34879499988857,-22.7883269802632
"CDC_Cherie_AGL",0.931081541037032,1.48811889498367,59.7202848461529,15,-21.5,-2.04250002890623,-36.8349125879424,0.195382456038687,0.298077251607795,61.6516999737595,23,-12,-4.42542398645303,-38.8800260646568,0.167449753964525,0.459114873233435,33.4601580288798,22.6666666666667,-12,4.2499284472853,-30.3874732543323
"CDC_Glamis_AGL",1.08602518648027,NA,73.3138802243083,9,NA,-4.41882788010877,NA,0.191109094855475,NA,79.9276407084662,13.6666666666667,NA,-11.3757808918019,NA,0.187619867695886,NA,51.5911843542296,14.3333333333333,NA,-0.290951531484834,NA
"CDC_Gold_AGL",0.32103110399908,NA,51.2451511820161,22.3333333333333,NA,-0.046312351934399,NA,0.1444426733788,NA,57.9055595321284,31.6666666666667,NA,-4.0167337064365,NA,0.0414067288284565,NA,26.124484731769,32,NA,8.25414885331793,NA
"CDC_Greenstar_AGL",1.03803717489414,NA,69.5044196319357,11.6666666666667,NA,-4.32740397303957,NA,0.20845821044449,NA,75.4255223168097,16,NA,-9.15959169623573,NA,0.208949953759696,NA,50.5649128608524,16,NA,0.204417357947833,NA
"CDC_Imax_AGL",0.608373057364209,NA,45.7773443735053,21,NA,1.02768456980543,NA,0.169414203565687,NA,73.5852389636872,15,NA,-7.75848597699957,NA,0.106888206749048,NA,33.3427880663772,21.3333333333333,NA,4.00030455783787,NA
"CDC_Impower_AGL",1.01969687230862,1.83260348484342,63.3874014843574,14,-21,-2.94067757225013,-37.3812121299825,0.222728666479069,0.322482395595552,68.9376781911663,17,-21,-5.85715916843443,-40.1255432049992,0.224206810167809,0.585169501532382,42.7683480521349,17.3333333333333,-21,1.91955694917693,-33.5882216141391
"CDC_KR.1_AGL",1.20920109235815,NA,71.7966822766737,9.66666666666667,NA,-4.0639672014733,NA,0.211742311315835,NA,61.5713760396092,23.3333333333333,NA,-4.37336153949657,NA,0.225823943087031,NA,38.5187657023903,20.6666666666667,NA,2.8541804633003,NA
"CDC_LeMay_AGL",0.821446463910617,NA,54.9915550780005,16.6666666666667,NA,-1.20090357348217,NA,0.180227205400709,NA,66.3626077242245,20.3333333333333,NA,-5.895628254845,NA,0.125538740986858,NA,31.614937726977,18,NA,3.64078582388957,NA
"CDC_Maxim_AGL",0.873882216150038,1.30625794184875,65.7206344493711,11.3333333333333,-19,-2.4258141728225,-36.5125677120394,0.186745384084127,0.264151645534758,59.6311116781028,24,-22,-2.8716357281482,-42.3031709979488,0.140269069588275,0.342359828509318,33.5611598784277,18.3333333333333,-20,3.40110493904123,-33.3756258486075
"CDC_QG.1_AGL",1.05565201872724,NA,59.0029160138057,16,NA,-2.2433343873724,NA,0.20573382805315,NA,75.9796502039529,16,NA,-9.53040861939093,NA,0.200174419466521,NA,42.1767432961082,16,NA,1.62336805468027,NA
"CDC_Red_Rider_AGL",0.993290098215047,1.50419949837997,65.6718901122856,14.3333333333333,-33,-2.20323309417023,-38.1401808742607,0.19438331662409,0.287926634576545,70.7324193976625,16.3333333333333,-14,-6.58207717965123,-38.3429425900842,0.174238284484276,0.44706788298341,41.2642315043091,19.3333333333333,-19,2.42706174982003,-31.2604049429224
"CDC_Redcoat_AGL",0.823474662962073,NA,57.4759566768704,20.6666666666667,NA,-2.0973747326551,NA,0.201164043824326,NA,68.7497089522104,18.3333333333333,NA,-6.67235451648863,NA,0.159905292256949,NA,38.9136675797102,20.6666666666667,NA,2.80432769922063,NA
"CDC_Redwing_AGL",1.12167095224685,1.35846876616014,80.5970667142515,5.33333333333333,-28,-4.31095149048953,-37.7844488613995,0.168262627426217,0.229466465752024,71.5307504532318,18.6666666666667,-16,-7.83569744386817,-41.573562959913,0.152930288983391,0.321177859906917,46.4497064023911,15.6666666666667,-18.5,1.0953050909919,-32.7307564025778
