"Name","Ba16_Canopy.Height","Ba16_Canopy.Width","Ba16_Flower.Branch","Ba16_Lodging.Score","Ba16_Lowest.Pod.H","Ba16_Plant.Length","Ba16_Plot.Biomass","Ba16_Straw.Biomass","Ba16_Yield","Ba17_Canopy.Height","Ba17_Canopy.Width","Ba17_Lodging.Score","Ba17_Lowest.Pod.H","Ba17_Nodes.At.Flower","Ba17_Plot.Biomass","Ba17_Straw.Biomass","Ba17_Yield","In16_Flower.Branch","In16_Plot.Biomass","In16_Straw.Biomass","In16_Yield","In17_Canopy.Height","In17_Flower.Branch","In17_Lowest.Pod.H","In17_Plot.Biomass","In17_Straw.Biomass","In17_Yield","It16_Canopy.Height","It16_Cold.Stress","It16_Flower.Branch","It16_Lodging.Score","It16_Lowest.Pod.H","It16_Plot.Biomass","It16_Straw.Biomass","It16_Yield","It17_Canopy.Height","It17_Canopy.Width","It17_Lodging.Score","It17_Lowest.Pod.H","It17_Nodes.At.Flower","It17_Plant.Length","It17_Plot.Biomass","It17_Straw.Biomass","It17_Yield","Mo16_Yield","Mo17_Plot.Biomass","Mo17_Straw.Biomass","Mo17_Yield","Ne16_Canopy.Height","Ne16_Lodging.Score","Ne16_Lowest.Pod.H","Ne16_Nodes.At.Flower","Ne16_Plant.Length","Ne16_Plot.Biomass","Ne16_Straw.Biomass","Ne16_Yield","Ne17_Canopy.Height","Ne17_Lodging.Score.1","Ne17_Lodging.Score.2","Ne17_Lowest.Pod.H","Ne17_Nodes.At.Flower","Ne17_Plant.Length","Ne17_Plot.Biomass","Ne17_Straw.Biomass","Ne17_Yield","Ro16_Canopy.Height","Ro16_Lowest.Pod.H","Ro16_Node.Of.Flower","Ro16_Nodes.At.Flower","Ro16_Plant.Length","Ro16_Plot.Biomass","Ro16_SP.Plant.Mass","Ro16_SP.Seed.Mass","Ro16_Straw.Biomass","Ro16_Yield","Ro17_Canopy.Height","Ro17_Lowest.Pod.H","Ro17_Node.Of.Flower","Ro17_Nodes.At.Flower","Ro17_Plant.Length","Ro17_Plot.Biomass","Ro17_SP.Plant.Mass","Ro17_SP.Seed.Mass","Ro17_Straw.Biomass","Ro17_Yield","Sp16_Plot.Biomass","Sp16_Straw.Biomass","Sp16_Yield","Sp17_Canopy.Height","Sp17_Lodging.Score","Sp17_Plot.Biomass","Sp17_Straw.Biomass","Sp17_Yield","Su16_Canopy.Height","Su16_Lowest.Pod.H","Su16_Node.Of.Flower","Su16_Nodes.At.Flower","Su16_Plant.Length","Su16_SP.Plant.Mass","Su16_SP.Seed.Mass","Su16_Yield","Su17_Canopy.Height","Su17_Lowest.Pod.H","Su17_Node.Of.Flower","Su17_Nodes.At.Flower","Su17_Plant.Length","Su17_Plot.Biomass","Su17_SP.Plant.Mass","Su17_SP.Seed.Mass","Su17_Straw.Biomass","Su17_Yield","Su18_Canopy.Height.d037","Su18_Canopy.Height.d050","Su18_Canopy.Height.d062","Su18_Lodging.Score","Su18_Plant.Length","Su18_Plot.Biomass","Su18_Straw.Biomass","Su18_Yield","Us17_Canopy.Height","Us17_Lodging.Score","Us17_Yield","Us18_Lodging.Score","Us18_Yield"
"X3156.11_AGL",26,19.6666666666667,2.5,1,NA,40.8333333333333,NA,65.3333333333333,NA,41.1666666666667,32.9666666666667,1.33333333333333,NA,19.3333333333333,NA,151.333333333333,NA,2.5,NA,53.91,NA,28.6666666666667,2.83333333333333,NA,NA,0.24,NA,24.3333333333333,0.333333333333333,1.33333333333333,2,7.66666666666667,386.993,328.14,58.853,35.8333333333333,28.3333333333333,2,22.1666666666667,12,45.1666666666667,1030.25666666667,996.033333333333,34.2233333333333,5.14333333333333,880,791.946666666667,88.0533333333333,25,1.5,12.5,12.3333333333333,28,4.36,4,0.36,35.3333333333333,2.33333333333333,1.33333333333333,22.3333333333333,15.1666666666667,41.1666666666667,161.333333333333,68.3333333333333,93,50.5,16,11,14.3333333333333,64.5,1321.4,26.5888888888889,9.86,862.74,458.66,34.1666666666667,19.1666666666667,11.8333333333333,15.1666666666667,41.5,1098.43333333333,24.0633333333333,8.51777777777778,690.26,408.173333333333,143.433333333333,132.666666666667,10.7666666666667,44.6666666666667,1.66666666666667,594.666666666667,493,101.666666666667,42.6666666666667,15.3333333333333,10.1666666666667,13.3333333333333,56.6666666666667,34.44,11.605,431.553333333333,36.8333333333333,20,10,14.5,44.6666666666667,1466.3,31.61,10.5,989.5,495.1,8,16.6666666666667,27,1,42.3333333333333,982.766666666667,556.866666666667,425.9,27.6666666666667,2.66666666666667,99.5333333333333,2,67.85
"CDC_Asterix_AGL",23.5,17,2.5,1.66666666666667,NA,27.8333333333333,NA,101.333333333333,NA,32.25,31.2666666666667,1,NA,12.8333333333333,NA,143.666666666667,NA,2.33333333333333,NA,39.7,NA,26.1666666666667,2.33333333333333,NA,NA,0.141666666666667,NA,23.8333333333333,1,3.16666666666667,1,10.1666666666667,625.764333333333,482.193333333333,143.571,33.8333333333333,38.3333333333333,1,18,10.8333333333333,38.5,796.973333333333,771.133333333333,25.84,15.5066666666667,764.333333333333,679.17,85.1633333333333,19.5,2,10,13.1666666666667,23.5,15.16,15,0.16,34.1666666666667,2,1.33333333333333,19.5,14.5,39.3333333333333,134,74.6666666666667,59.3333333333333,38.5,14,9.16666666666667,12.5,53.5,1128.33333333333,26.4322222222222,11.8611111111111,596.4,531.933333333333,32.5,18,13.1666666666667,16.3333333333333,42.1666666666667,1355.85,39.2066666666667,14.66,775.92,570.605,157.633333333333,144.666666666667,12.9666666666667,37.6666666666667,1.66666666666667,556.333333333333,434,122.333333333333,40.1666666666667,9.83333333333333,9.16666666666667,12,52,18.5022222222222,5.55888888888889,464.086666666667,33.8333333333333,13.3333333333333,9.66666666666667,13.5,41.1666666666667,1106.2,20.615,7.08833333333333,668.495,514.905,10,15.3333333333333,25,1,34.8333333333333,612.7,295.233333333333,317.466666666667,35.6666666666667,1.33333333333333,162.466666666667,1,154.5
"CDC_Cherie_AGL",31,22.3333333333333,2.5,1,NA,38.6666666666667,NA,70.3333333333333,NA,51.9166666666667,32,1,NA,15.1666666666667,NA,215.333333333333,NA,3.5,NA,48.5033333333333,NA,30.6666666666667,2.5,NA,NA,0.232666666666667,NA,33.3333333333333,0.333333333333333,2.33333333333333,1,8.83333333333333,610.595,457.533333333333,153.061666666667,34.5,26.3333333333333,5,12.75,13.6666666666667,45,837.786666666667,812.966666666667,24.82,44.86,904.666666666667,833.946666666667,70.72,12.5,1,12.5,10.3333333333333,14.5,NA,NA,NA,43.8333333333333,2.33333333333333,1.66666666666667,25.1666666666667,16,48.8333333333333,315.666666666667,131,184.666666666667,40.5,13,8.5,11.8333333333333,53.25,1086.9,24.4733333333333,9.05333333333333,640.293333333333,446.606666666667,31.8333333333333,14.6666666666667,10.75,14,41.5,1205.2,20.6288888888889,9.03222222222222,596.096666666667,609.103333333333,155.5,146,9.5,45.1666666666667,1.66666666666667,546.666666666667,440.666666666667,106,41.1666666666667,13,8.33333333333333,11.3333333333333,57.8333333333333,12.92,4.92888888888889,407.713333333333,36.8333333333333,14,9.16666666666667,12.8333333333333,44.1666666666667,1103.8,23.7466666666667,9.43444444444444,566.366666666667,537.433333333333,10,16.6666666666667,25,1,39.1666666666667,795.166666666667,391.266666666667,403.9,34.5,2.66666666666667,167.533333333333,1.66666666666667,85.4666666666667
"CDC_Glamis_AGL",22,24.6666666666667,2,1.66666666666667,NA,34.5,NA,46.3333333333333,NA,48.825,28.5333333333333,1.66666666666667,NA,15.5,NA,134.666666666667,NA,3,NA,34.4866666666667,NA,34.5,3,NA,NA,0.373,NA,21,0.333333333333333,1.16666666666667,2,9.16666666666667,253.710333333333,236.953333333333,16.757,36.8333333333333,25.3333333333333,5,17.3333333333333,11.6666666666667,44.1666666666667,700.733333333333,682.4,18.3333333333333,7.43666666666667,328.666666666667,327.833333333333,0.833333333333333,NA,NA,NA,10.5,NA,NA,NA,NA,41,2.33333333333333,1.66666666666667,27.8333333333333,14.8333333333333,46.1666666666667,258,90.3333333333333,167.666666666667,28.25,16.5,8.66666666666667,11.8333333333333,51,963.633333333333,22.48,6.35,647.62,316.013333333333,25.5,17.8333333333333,11.5,15.1666666666667,40.8333333333333,967.266666666667,23.3544444444444,6.32,616.126666666667,351.14,125.666666666667,124,1.66666666666667,43.1666666666667,2.66666666666667,537.666666666667,461.666666666667,76,36.6666666666667,12.6666666666667,8.83333333333333,12.3333333333333,51.5,24.32,7.11777777777778,345.156666666667,35.6666666666667,15.5,10,14.5,44,1169.9,28.7555555555556,8.98222222222222,735.39,434.51,11,20.3333333333333,31,1,43.1666666666667,1006.53333333333,550.033333333333,456.5,26.5,4,86.6666666666667,2,58.3
"CDC_Gold_AGL",27.8333333333333,17.6666666666667,2.66666666666667,1.33333333333333,NA,30.8333333333333,NA,67.6666666666667,NA,45.2166666666667,31.5333333333333,1.33333333333333,NA,16.5,NA,175.666666666667,NA,2.5,NA,40.6033333333333,NA,25.6666666666667,2.5,NA,NA,0.161333333333333,NA,27,0.333333333333333,1.16666666666667,1,10.6666666666667,323.888,281.763333333333,42.1246666666667,34.5,34,5,17,14.8333333333333,48.5,793.163333333333,778.233333333333,14.93,9.34666666666667,551.333333333333,549.563333333333,1.77,NA,2,NA,11.5,NA,NA,NA,NA,32.5,2.33333333333333,1.33333333333333,21.3333333333333,14.5,39.1666666666667,160.333333333333,35.6666666666667,124.666666666667,27,11.5,8.66666666666667,12.1666666666667,45,447.8,35.285,6.19333333333333,397.636666666667,50.1633333333333,26.3333333333333,18.3333333333333,11.3333333333333,15,36.1666666666667,277.833333333333,30.0611111111111,6.97777777777778,205.516666666667,72.3166666666667,116.1,111.333333333333,4.76666666666667,44.8333333333333,1,559.333333333333,482.666666666667,76.6666666666667,32.3333333333333,11.1666666666667,8.33333333333333,11.1666666666667,49,20.2266666666667,3.40833333333333,113.803333333333,37,14.6666666666667,7.83333333333333,11.1666666666667,44.3333333333333,929.833333333333,31.07,6.87888888888889,647.983333333333,281.85,11,19,28,1.66666666666667,44.3333333333333,816.966666666667,474.233333333333,342.733333333333,39.25,3.33333333333333,61.9,1.66666666666667,31.9
"CDC_Greenstar_AGL",30.1666666666667,20.6666666666667,2.5,1.66666666666667,NA,39,NA,64.6666666666667,NA,43.4333333333333,31.1,1.33333333333333,35.6166666666667,17.6666666666667,144.55,139,5.55,3,NA,34.44,NA,32.3333333333333,3.33333333333333,NA,NA,0.371666666666667,NA,24.8333333333333,0.666666666666667,2.5,1.66666666666667,10.8333333333333,304.558,279.863333333333,24.6946666666667,31.8333333333333,28.6666666666667,5,15,14.3333333333333,45.3333333333333,887.756666666667,868.533333333333,19.2233333333333,9.05333333333333,933.666666666667,864.966666666667,68.7,22.5,4,16.5,11.5,30.5,NA,NA,NA,35.6666666666667,2.66666666666667,2,21.8333333333333,15.3333333333333,42.5,196.333333333333,81.3333333333333,115,37.5,11,9.66666666666667,12.6666666666667,45.5,1068.1,30.9088888888889,9.40666666666667,667.356666666667,400.743333333333,31.8333333333333,18.6666666666667,11.8333333333333,15.1666666666667,41.6666666666667,1059.5,31.405,10.7533333333333,644.11,412.99,138.2,126.666666666667,11.5333333333333,45.3333333333333,1.66666666666667,598.666666666667,488.666666666667,110,38.5,12.8333333333333,8.83333333333333,12.1666666666667,54.6666666666667,27.4766666666667,7.84166666666667,350.163333333333,33.3333333333333,15.3333333333333,9.66666666666667,13.6666666666667,40.6666666666667,1042,19.47,7.39111111111111,627.493333333333,414.506666666667,10,19.6666666666667,26,1,42.3333333333333,851.6,443.566666666667,408.033333333333,27.1666666666667,3.33333333333333,160.866666666667,4.33333333333333,125.2
"CDC_Imax_AGL",20.3333333333333,13.6666666666667,2.5,1.33333333333333,NA,26.1666666666667,NA,32.6666666666667,NA,31.5,17.4,1,NA,12.5,NA,109,NA,2.66666666666667,NA,23.3933333333333,NA,24.3333333333333,3.16666666666667,NA,NA,0.239,NA,25.1666666666667,1.33333333333333,1.16666666666667,3.33333333333333,7.5,275.320333333333,222.096666666667,53.2236666666667,35,27.3333333333333,4,14.8333333333333,14.3333333333333,46.8333333333333,1087.07666666667,992.866666666667,94.21,2.98333333333333,573.333333333333,550.536666666667,22.7966666666667,13,2,8.5,11.1666666666667,22.5,NA,NA,NA,40,2.66666666666667,2.33333333333333,22.8333333333333,15.1666666666667,45,267.666666666667,118,149.666666666667,32.5,12,9.16666666666667,12.3333333333333,51.75,922.8,28.6,9.46166666666667,584.21,338.59,25.1666666666667,13.5,10.6666666666667,14.3333333333333,36.3333333333333,667.033333333333,27.1688888888889,11.5488888888889,376.776666666667,290.256666666667,136.4,128.666666666667,7.73333333333333,49.6666666666667,3.33333333333333,585,456.333333333333,128.666666666667,32.3333333333333,9.5,8.83333333333333,11.3333333333333,47.6666666666667,22.4833333333333,6.73,267.38,35.3333333333333,13.5,10.1666666666667,14.1666666666667,42.5,902.433333333333,20.6288888888889,9.14555555555556,517.23,385.203333333333,10,20.3333333333333,23,1.66666666666667,38.6666666666667,660.1,332.233333333333,327.866666666667,27.5,3.66666666666667,121.566666666667,2.33333333333333,118.733333333333
"CDC_Impower_AGL",30.1666666666667,20.6666666666667,2.5,2,NA,36,NA,66.3333333333333,NA,46.4333333333333,34.2666666666667,1.66666666666667,NA,15.6666666666667,NA,206,NA,3,NA,26.7066666666667,NA,26,3.66666666666667,NA,NA,0.249666666666667,NA,27.1666666666667,0,2.16666666666667,1.66666666666667,15.5,334.24,317.296666666667,16.9433333333333,28,27,5,20,12.3333333333333,43.5,749.746666666667,745.7,4.04666666666667,8.07,848.333333333333,840.34,7.99333333333333,30.5,5,13,13,38,31.13,27,4.13,38.8333333333333,1.66666666666667,1.33333333333333,27,16.1666666666667,43.3333333333333,298,137,161,41,15.5,7.83333333333333,10.6666666666667,65,1332.83333333333,30.3222222222222,7.56777777777778,1070.44,262.393333333333,36.3333333333333,22,10.1666666666667,13.6666666666667,45.8333333333333,1088.76666666667,33.8355555555556,11.5922222222222,674.33,414.436666666667,119.333333333333,117.666666666667,1.66666666666667,49.6666666666667,1,416.666666666667,385.333333333333,31.3333333333333,41.5,17.75,9,12.3333333333333,60.5,26.2955555555556,5.85666666666667,223.623333333333,38.5,15.6666666666667,9.16666666666667,13.1666666666667,47.25,1179.53333333333,23.04,6.11555555555556,845.686666666667,333.846666666667,11,22,33,1,44.5,1090.43333333333,643.133333333333,447.3,36.1666666666667,2.66666666666667,88.9666666666667,2.66666666666667,111.8
"CDC_KR.1_AGL",31.8333333333333,22.3333333333333,2.33333333333333,1.33333333333333,NA,37.8333333333333,NA,63.6666666666667,NA,47.5333333333333,36.4666666666667,1,34.9666666666667,14.1666666666667,196.566666666667,177.666666666667,18.9,3.33333333333333,NA,34.4666666666667,NA,29.5,3,NA,NA,0.281,NA,28.1666666666667,1.33333333333333,1.66666666666667,1,10.3333333333333,367.527333333333,307.073333333333,60.454,34,32.3333333333333,3,17,13.5,39.6666666666667,826.01,786.933333333333,39.0766666666667,12.2333333333333,877.333333333333,835.02,42.3133333333333,NA,NA,NA,9.16666666666667,NA,NA,9,NA,40.1666666666667,1.66666666666667,1,20.1666666666667,16,43.6666666666667,261.666666666667,112.666666666667,149,41.5,13,8.83333333333333,12.3333333333333,49.5,1055.3,18.0266666666667,6.42833333333333,669.28,383.043333333333,35.5,17.6666666666667,10.8333333333333,14.6666666666667,46,1177.46666666667,23.4833333333333,6.45666666666667,720.623333333333,456.843333333333,141,127.666666666667,13.3333333333333,45.8333333333333,1,674.333333333333,531,143.333333333333,41.5,14.1666666666667,9,12,53.5,39.3511111111111,11.3333333333333,454.986666666667,31.5,11.1666666666667,8.33333333333333,12,38.1666666666667,654.433333333333,15.4044444444444,4.60666666666667,407.396666666667,343.835,12,19.3333333333333,29,1,40.1666666666667,881.933333333333,445.833333333333,436.1,33.5,2.33333333333333,182.1,1.66666666666667,78.3333333333333
"CDC_LeMay_AGL",33.5,16.3333333333333,2.33333333333333,1.33333333333333,18.5,37.8333333333333,41.6,40.3333333333333,1.26666666666667,34.4,22.2666666666667,1.66666666666667,NA,17.6666666666667,NA,104,NA,2.66666666666667,NA,17.9333333333333,NA,32.8333333333333,3,NA,NA,0.208333333333333,NA,29.1666666666667,1.66666666666667,1.83333333333333,3.33333333333333,12.1666666666667,550.492,417.34,133.152,24.5,25.6666666666667,4,11.5,11.5,36.6666666666667,1008.87666666667,861.8,147.076666666667,21.06,536.333333333333,448.39,87.9433333333333,21,2,12,12.6666666666667,24.5,NA,NA,NA,33.6666666666667,2,2,22.8333333333333,14.6666666666667,37.3333333333333,212.666666666667,56.3333333333333,156.333333333333,29.5,8.5,10,13.3333333333333,51.75,963.666666666667,35.6422222222222,13.1655555555556,565.193333333333,398.473333333333,26.8333333333333,14.6666666666667,11.6666666666667,14.6666666666667,38.3333333333333,1080.56666666667,29.4066666666667,11.8033333333333,525.835,405.665,102.233333333333,98.3333333333333,3.9,38.6666666666667,3.66666666666667,573.666666666667,449,124.666666666667,31.6666666666667,9.66666666666667,9.33333333333333,11.8333333333333,51.6666666666667,27.2266666666667,10.39,420.573333333333,34.3333333333333,14.1666666666667,9.33333333333333,13,43,1064.26666666667,28.2088888888889,9.43222222222222,591.673333333333,472.593333333333,9,16.3333333333333,23,3,37.3333333333333,766.4,381.866666666667,384.533333333333,23.3333333333333,3.33333333333333,124.966666666667,4,15.1333333333333
