"Plot","Entry","Name","Rep","Row","Column","Expt","Location","Year","Planting.Date","DTE","DTF","DTS","DTM","Plot.Biomass","Straw.Biomass","Seed.Mass","Plants.Harvested","SP.Plant.Mass","SP.Seed.Mass","SP.Straw.Mass","Plant.Length","Canopy.Height","Nodes.At.Flower","Node.Of.Flower","Lowest.Pod.Height"
"6127",319,"Shasta AGL","1",2,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,47,64,NA,455.4,310.8,144.6,13,41.76,12.2466666666667,29.5133333333333,43.5,23,12,9,13.5
"6385",7,"CDC Gold AGL","1",16,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,51,63,NA,142.9,105.37,37.53,6,26.43,7.36666666666667,19.0633333333333,39.5,23.5,13.5,10,16.5
"6475",319,"Shasta AGL","2",3,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,47,63,NA,196.6,140.47,56.13,5,36.5333333333333,9.53333333333333,27,38,22.5,14.5,11.5,13.5
"6919",208,"PI 320946 LSP AGL","3",10,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,57,75,633.9,346.31,287.59,50,23.0833333333333,10.4433333333333,12.64,33.5,22,16,11.5,13
"7039",7,"CDC Gold AGL","3",17,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,51,69,NA,185,143.77,41.23,9,33.2466666666667,7.33666666666667,25.91,32.5,24,13.5,10,19.5
"7051",123,"ILL 9977 AGL","3",17,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,39,57,75,467.8,290.57,177.23,51,7.5,2.66,4.84,29,11,12.5,10.5,6
"6101",232,"PI 383682 LSP AGL","1",1,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,59,82,550.5,439.14,111.36,46,17.2466666666667,2.08333333333333,15.1633333333333,37.5,23.5,12,8,14
"6103",78,"ILL 4609 AGL","1",1,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,57,80,698.2,458.41,239.79,36,13.6233333333333,3.84666666666667,9.77666666666667,34.5,22,12,8.5,8.5
"6104",308,"PI 477921 LSP AGL","1",1,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,44,58,80,1008.9,NA,NA,57,43.965,14.92,29.045,40,28.5,15,11,12
"6106",117,"ILL 8595 AGL","1",1,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,59,78,1101.6,581.06,520.54,34,18.015,6,12.015,40.5,28.5,14,10,8
