"Plot","Entry","Name","Rep","Row","Column","Expt","Location","Year","Planting.Date","DTE","DTF","DTS","DTM","Plot.Biomass","Straw.Biomass","Seed.Mass","Plants.Harvested","SP.Plant.Mass","SP.Seed.Mass","SP.Straw.Mass","Plant.Length","Canopy.Height","Nodes.At.Flower","Node.Of.Flower","Lowest.Pod.Height"
"5166",154,"PI 244046 AGL","1",4,7,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,39,63,82,353.5,260.76,92.74,NA,11.8466666666667,11.8466666666667,0,28.5,19.5,9.5,12.5,6
"5261",194,"PI 299351 LSP AGL","1",9,17,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,14,51,69,87,800.8,609.66,191.14,38,31.0066666666667,31.0066666666667,0,36.5,22.5,12,9.5,7
"5264",273,"PI 432028 LSP AGL","1",10,17,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,52,71,86,330.8,248.9,81.9,38,22.2533333333333,22.2533333333333,0,27.5,21,10,7,9
"5404",157,"PI 251248 LSP AGL","1",17,16,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,15,39,62,81,394.8,311.62,83.18,39,15.13,15.13,0,30,22,9.5,NA,6.5
"5550",155,"PI 250156 LSP AGL","2",7,18,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,11,52,71,82,636.3,480.57,155.73,NA,13.9966666666667,13.9966666666667,0,25.5,19.5,14.5,9.5,4
"5560",111,"ILL 7979 AGL","2",8,9,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,14,46,65,83,921.2,635.16,286.04,62,15.03,15.03,0,35,22.5,13.5,9.5,9.5
"5788",112,"ILL 8007 AGL","3",3,4,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,39,63,79,214.2,NA,NA,47,NA,NA,NA,25,19,9.5,NA,3.5
"5875",157,"PI 251248 LSP AGL","3",8,18,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,12,37,61,NA,680.9,525.76,155.14,NA,27.6333333333333,27.6333333333333,0,25.5,20.5,9,NA,8
"5901",94,"ILL 5888 AGL","3",9,9,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,11,39,62,NA,598.9,403.41,195.49,NA,15.9166666666667,15.9166666666667,0,27.5,16.5,9,NA,5
"5910",154,"PI 244046 AGL","3",9,18,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,15,46,65,83,185.6,147.11,38.49,NA,19.2166666666667,19.2166666666667,0,25,18,13.5,9,6.5
"5941",145,"PI 193550 AGL","3",11,13,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,11,39,65,81,775.4,484,291.4,NA,14,14,0,37.5,28,7.5,NA,7
"6014",127,"IPL 220 AGL","3",15,14,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,39,64,82,NA,NA,147.54,NA,12.7566666666667,12.7566666666667,0,32,26,7.5,NA,4
"5102",202,"PI 320935 LSP AGL","1",1,2,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,10,45,70,88,774.2,527.55,246.65,45,21.3133333333333,21.3133333333333,0,37,26.5,10,7,7
"5103",225,"PI 370481 LSP AGL","1",1,3,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,10,55,74,89,902,531.16,370.84,41,9.75333333333333,9.75333333333333,0,32,29.5,12.5,8,9.5
"5104",95,"ILL 5945 AGL","1",1,4,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,10,41,65,81,436.7,298.42,138.28,NA,18.07,18.07,0,26,21.5,10,6.5,4
"5106",294,"PI 472136 LSP AGL","1",1,6,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,11,45,67,NA,429.9,335.18,94.72,36,14.1966666666667,14.1966666666667,0,26.5,20.5,10.5,7,5
"5108",145,"PI 193550 AGL","1",1,8,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,12,42,65,86,797.1,508.05,289.05,54,18.59,18.59,0,37,30.5,10,6,5
"5109",103,"ILL 7089 AGL","1",1,9,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,12,46,69,90,1043.2,761.55,281.65,57,22.47,22.47,0,44,36,11,7.5,9.5
"5110",105,"ILL 7663 AGL","1",1,10,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,45,64,83,614.7,468.8,145.9,NA,17.0466666666667,17.0466666666667,0,30,17,11,7,6
"5112",284,"PI 432212 LSP AGL","1",1,12,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,48,70,88,862,694.51,167.49,33,33.9566666666667,33.9566666666667,0,31,24.5,12,8.5,7
"5113",255,"PI 431717 LSP AGL","1",1,13,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,13,52,72,87,948.6,NA,NA,61,13.67,13.67,0,32.5,25.5,11.5,8,9
"5116",317,"PI 643451 AGL","1",1,16,"Sutherland 2017","Sutherland, Canada",2017,2017-05-04,15,47,65,83,592,432.47,159.53,NA,10.3033333333333,10.3033333333333,0,27.5,17.5,12,8.5,5.5
