"Plot","Entry","Name","Rep","Row","Column","Expt","Location","Year","Planting.Date","CanopyHeight_d37","CanopyHeight_d50","CanopyHeight_d62","CanopyHeight","Plant.Length","Growth.Habit","DTE","DTF","DTS","DTM","Leaf.Color","Leaf.Size","Plot.Biomass","Straw.Biomass","Seed.Mass","Plants.Harvested","Lodging","Lowest.Pod.Height"
"5001",113,"ILL 8009 AGL","1",1,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,5,10,15,17,23.5,2,14,43,61,83,NA,2,238.8,108.9,129.9,46,5,3
"5002",54,"ILL 11547 AGL","1",1,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,19,22,16,31,3,13,43,60,84,NA,3,421.6,233.6,188,52,3,5
"5003",32,"CN 105789 AGL","1",1,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,12,13,11,25.5,2,13,40,55,74,NA,1,182.2,111.9,70.3,47,5,3
"5004",239,"PI 426784 LSP AGL","1",1,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,6,12,16,13,24.5,2,14,43,61,82,NA,2,309.7,164.7,145,44,5,4
"5005",163,"PI 289079 LSP AGL","1",1,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,9,17,24,20,30,1,12,47,68,88,NA,1,496,230.2,265.8,59,3,6
"5006",155,"PI 250156 LSP AGL","1",1,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,13,18,14,22.5,1,14,42,61,82,NA,1,413.1,185.9,227.2,59,3,4
"5007",263,"PI 431863 LSP AGL","1",1,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,9,17,21,14,24,2,13,47,68,90,NA,3,445.6,231.1,214.5,59,3,8
"5008",24,"CDC Sedley AGL","1",1,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,21,30,30,37.5,1,13,47,70,95,NA,3,634.8,345.3,289.5,43,1,8
"5009",234,"PI 420924 LSP AGL","1",1,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,14,16,24,18,31.5,3,13,45,63,93,NA,3,442.6,235.8,206.8,64,3,7
"5010",308,"PI 477921 LSP AGL","1",1,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,20,29,25,40,2,12,43,65,89,NA,3,630.6,380.7,249.9,65,1,12
"5011",88,"ILL 5151 AGL","1",1,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,10,15,17,28,3,13,43,63,90,NA,1,340.3,180.1,160.2,36,3,5
"5012",71,"ILL 313 AGL","1",1,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,16,19,16,29.5,3,13,43,63,83,NA,2,413.6,200.1,213.5,35,3,9
"5013",317,"PI 643451 AGL","1",1,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,18,19,14,27.5,1,14,43,60,81,NA,1,395.5,175.2,220.3,48,5,5
"5014",274,"PI 432033 LSP AGL","1",1,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,14,17,14,25.5,2,13,47,64,84,NA,1,375,161.9,213.1,37,5,5
"5015",316,"PI 612875 AGL","1",1,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,9,13,16,16,22.5,2,14,42,60,77,NA,1,393.3,182.1,211.2,46,5,3
"5016",38,"CN 105895 AGL","1",1,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,15,23,17,24,2,13,43,58,75,NA,2,275.8,140.4,135.4,45,3,5
"5017",251,"PI 431684 LSP AGL","1",1,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,13,18,21,31.5,2,14,46,67,90,NA,2,452.6,194.8,257.8,43,3,11
"5018",26,"CN 105604 AGL","1",1,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,9,15,17,14,27,3,14,43,61,77,NA,2,247.2,121.9,125.3,36,1,4
"5019",102,"ILL 6853 AGL","1",2,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,17,27,20,31.5,1,12,47,66,93,NA,2,439.4,236.1,203.3,41,3,10
"5020",58,"ILL 11557 AGL","1",2,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,14,20,14,26.5,1,13,41,65,85,NA,2,395.2,251.2,144,38,3,4
"5021",231,"PI 379368 LSP AGL","1",2,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,18,23,20,29.5,1,12,46,68,84,NA,2,357.8,210,147.8,43,3,7
"5022",270,"PI 432001 LSP AGL","1",2,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,17,19,22,32.5,1,12,46,69,92,NA,3,522.9,279.4,243.5,47,1,5
"5023",225,"PI 370481 LSP AGL","1",2,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,13,19,17,28.5,2,12,48,70,90,NA,2,572.2,328.7,243.5,47,3,11
"5024",304,"PI 472588 LSP AGL","1",2,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,7,12,16,18,23.5,1,13,48,70,89,NA,1,438.6,231.4,207.2,35,1,4
"5025",74,"ILL 3597 AGL","1",2,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,14,19,18,26,1,13,42,63,82,NA,1,365,181.6,183.4,51,5,4
"5026",7,"CDC Gold AGL","1",2,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,19,28,30,41.5,2,11,47,69,96,NA,3,692.6,391.6,301,45,3,10
"5027",4,"CDC Greenstar AGL","1",2,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,21,26,29,39,1,11,50,72,96,NA,3,872.5,432.4,440.1,45,1,12
"5028",67,"ILL 2507 AGL","1",2,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,15,17,16,25.5,1,13,43,59,81,NA,2,424,217.1,206.9,52,5,3
"5029",132,"PI 175754 LSP AGL","1",2,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,11,15,19,27.5,2,14,45,64,88,NA,2,337.8,158.9,178.9,31,3,9
"5030",213,"PI 329167 LSP AGL","1",2,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,20,22,14,31.5,2,11,43,69,87,NA,3,497.7,276.4,221.3,58,3,6
"5031",233,"PI 420818 AGL","1",2,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,20,26,25,36,2,12,47,70,89,NA,3,506.1,291.6,214.5,60,3,14
"5032",290,"PI 458503 LSP AGL","1",2,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,17,17,18,28.5,2,13,44,66,87,NA,2,347.6,174.1,173.5,45,3,5
"5033",276,"PI 432106 LSP AGL","1",2,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,19,25,23,30.5,2,11,43,72,86,NA,3,500.8,265.4,235.4,63,3,9
"5034",142,"PI 193546 AGL","1",2,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,16,14,15,26,3,13,46,63,85,NA,1,388.5,157.2,231.3,56,5,3
"5035",47,"IG 1706 AGL","1",2,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,16,20,19,26.5,2,13,43,63,84,NA,2,398.6,205.3,193.3,46,3,6
"5036",76,"ILL 4400 AGL","1",2,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,20,23,16,28.5,2,11,47,65,87,NA,2,310.5,174.8,135.7,45,3,5
"5037",205,"CN 105866 AGL","1",3,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,9,20,22,19,28,2,13,44,67,93,NA,3,482,248.3,233.7,36,3,9
"5038",140,"PI 181886 LSP AGL","1",3,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,17,24,18,33.5,2,12,45,64,92,NA,3,469,234.9,234.1,54,3,10
"5039",118,"ILL 9 AGL","1",3,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,14,15,20,18,29,3,13,43,63,88,NA,2,350.4,177.4,173,63,5,4
"5040",241,"PI 426807 LSP AGL","1",3,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,13,15,18,25,2,14,42,62,87,NA,1,239.2,136.3,102.9,32,5,3
"5041",262,"PI 431824 LSP AGL","1",3,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,21,25,23,31,2,12,41,62,86,NA,3,447.3,222,225.3,49,3,9
"5042",99,"ILL 6211 AGL","1",3,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,7,15,19,27,36.5,2,12,47,69,92,NA,3,542.6,296.2,246.4,44,3,12
"5043",111,"ILL 7979 AGL","1",3,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,13,20,17,31.5,1,14,43,62,89,NA,2,340.3,167.4,172.9,30,1,3
"5044",22,"CDC Ruby AGL","1",3,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,16,25,29,36,1,14,47,68,92,NA,3,689.9,383.2,306.7,37,1,12
"5045",83,"ILL 4783 AGL","1",3,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,20,26,29,41.5,1,12,47,72,95,NA,3,656.9,358.7,298.2,55,3,14
"5046",197,"PI 300250 LSP AGL","1",3,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,14,17,15,26,1,14,46,64,87,NA,2,442.8,367.8,75,45,5,4
"5047",143,"PI 193547 LSP AGL","1",3,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,8,14,22,22,28.5,2,14,50,64,89,NA,2,601.4,298.3,303.1,48,3,8
"5048",147,"PI 518731 LSP AGL","1",3,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,9,17,21,27,31,1,12,47,65,85,NA,3,539.7,265.1,274.6,52,1,6
"5049",121,"ILL 9932 AGL","1",3,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,12,13,13,25,1,13,41,62,84,NA,1,381.5,163.4,218.1,39,5,3
"5050",207,"PI 320945 LSP AGL","1",3,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,18,22,19,26,2,12,47,64,90,NA,2,561.7,255,306.7,57,3,4
"5051",298,"PI 472380 LSP AGL","1",3,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,11,15,13,30.5,1,15,43,61,88,NA,1,334.5,188.5,146,41,1,4
"5052",226,"PI 374116 LSP AGL","1",3,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,16,23,21,33,1,13,47,64,90,NA,2,609.2,280,329.2,49,3,10
"5053",301,"PI 472559 LSP AGL","1",3,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,11,17,18,17,24,1,16,43,61,89,NA,1,326.3,191.3,135,33,1,2
"5054",63,"ILL 1983 AGL","1",3,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,12,14,22,21,27.5,1,14,44,63,85,NA,1,375.6,185.4,190.2,45,3,8
"5055",55,"ILL 11548 AGL","1",4,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,10,17,17,15,26,1,11,42,61,83,NA,2,395.4,253.1,142.3,50,3,4
