"Entry","Name","Origin","Region","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
1,"CDC Asterix AGL","Canada","Americas",29.5890410958904,23,25.5
2,"CDC Rosie AGL","Canada","Americas",34.4420131291028,25.9,26.1
3,"3156-11 AGL","Canada","Americas",45.5729166666667,33.4,31.6
4,"CDC Greenstar AGL","Canada","Americas",71.6857142857143,64.3,54.6
5,"CDC Cherie AGL","Canada","Americas",44.5675675675676,34.9,39
6,"CDC Glamis AGL","Canada","Americas",68.0357142857143,53.9,54.7
7,"CDC Gold AGL","Canada","Americas",52.9856850715746,53.7,54.9
8,"CDC Imax AGL","Canada","Americas",50.6131386861314,38.8,36.1
9,"CDC Impower AGL","Canada","Americas",70.4901960784314,59.4,47.8
10,"CDC KR-1 AGL","Canada","Americas",59.6989966555184,35.9,42.5
11,"CDC LeMay AGL","Canada","Americas",38.7656033287101,32,33.1
12,"CDC Maxim AGL","Canada","Americas",48.0257510729614,41,41.6
13,"CDC QG-1 AGL","Canada","Americas",49.0430622009569,44.7,39
14,"CDC Red Rider AGL","Canada","Americas",49.358372456964,36.4,36.5
15,"CDC Redcoat AGL","Canada","Americas",47.0728793309438,32.9,35.6
16,"CDC Redwing AGL","Canada","Americas",42.0886981402003,28.7,30.9
17,"CDC Robin AGL","Canada","Americas",31.5963855421687,24.1,25.2
18,"CDC Rosebud AGL","Canada","Americas",32.6666666666667,23.2,25.3
19,"CDC Rosetown AGL","Canada","Americas",34.9886363636364,25.1,32.5
20,"CDC Rouleau AGL","Canada","Americas",41.6684723726977,32.6,33.2
21,"CDC Royale AGL","Canada","Americas",45.5710659898477,35,34.7
22,"CDC Ruby AGL","Canada","Americas",32.7024185068349,25.4,27.8
23,"CDC SB-1 AGL","Canada","Americas",37.35,31,30.5
24,"CDC Sedley AGL","Canada","Americas",61.4509803921569,66.5,55.1
25,"CDC Vantage AGL","Canada","Americas",51.8292682926829,39.9,40.9
26,"CN 105604 AGL","Ethiopia","Africa",24.6412213740458,20.2,24.2
27,"CN 105605 AGL","Eritrea","Africa",29.9409282700422,26.3,26.8
28,"CN 105715 AGL","Ethiopia","Africa",51.5051546391753,40,46
29,"CN 105732 AGL","Ethiopia","Africa",48.7692307692308,42.8,36.2
30,"CN 105767 AGL","Libya","Africa",31.4285714285714,26.1,26.9
31,"CN 105777 AGL","Egypt","Africa",29.9417249417249,25.3,25.7
32,"CN 105789 AGL","Ethiopia","Africa",30.0630914826498,29.8,29.9
33,"CN 105791 AGL","Egypt","Africa",26.2178919397697,23.1,29.1
34,"CN 105862 AGL","Tunisia","Africa",61.8466353677621,41.6,38.8
35,"CN 105863 AGL","Tunisia","Africa",70.8151093439364,64.1,66.6
36,"CN 105864 AGL","Tunisia","Africa",49.3836477987421,31.3,35.8
37,"CN 105865 AGL","Tunisia","Africa",66.7554479418886,54.7,70.8
38,"CN 105895 AGL","Egypt","Africa",33.8837516512549,34.1,32.2
39,"CN 106265 AGL","Egypt","Africa",40.272952853598,32.3,35.1
40,"CN 108369 AGL","Libya","Africa",68.6832061068702,56.2,50.6
41,"CN 108370 AGL","Libya","Africa",26.1040235525025,22,19.8
42,"Crimson AGL","USA","Americas",40.5511811023622,32.4,34.2
43,"DPL 62 AGL","India","Asia",44.3809523809524,39.7,42.3
44,"Eston AGL","Canada","Americas",37.6361031518625,33.1,31
45,"Gudo AGL","Ethiopia","Africa",49.0672782874618,40.3,34.1
46,"IG 1046 AGL","Egypt","Africa",36.6314398943197,29.4,29.5
47,"IG 1706 AGL","Ethiopia","Africa",24.6751863684771,19.5,22.2
48,"IG 1959 AGL","Ethiopia","Africa",36.7527675276753,31.5,31.2
49,"IG 4258 AGL","India","Asia",24.7834274952919,20.1,24.4
50,"IG 4781 AGL","Algeria","Africa",47.879746835443,42,31.9
51,"IG 858 AGL","Algeria","Africa",31.2085561497326,26.4,28.8
52,"ILL 10657 AGL","Turkey","Asia",48.5263157894737,43.4,43.1
53,"ILL 10748 AGL","ICARDA",NA,64.123006833713,55.2,52.8
54,"ILL 11547 AGL","Ethiopia","Africa",38.2954545454545,35.8,35.2
55,"ILL 11548 AGL","Ethiopia","Africa",30.7254361799816,27.2,28
56,"ILL 11553 AGL","India","Asia",35.1836734693877,31.1,32.5
57,"ILL 11555 AGL","India","Asia",42.0833333333333,41.5,41.1
58,"ILL 11557 AGL","India","Asia",45.359477124183,45.3,42
59,"ILL 11558 AGL","India","Asia",38.0271084337349,34.8,31.2
60,"ILL 1220 AGL","Iran","Asia",50,41.7,36.2
61,"ILL 1553 AGL","Iran","Asia",47.5667189952904,42.3,43.1
62,"ILL 1762 AGL","Afghanistan","Asia",27.1414242728185,21.6,22.1
63,"ILL 1983 AGL","Ethiopia","Africa",28.1417830290011,22.7,27.9
64,"ILL 213 AGL","Afghanistan","Asia",25.8401880141011,21.5,23.2
65,"ILL 2194 AGL","Pakistan","Asia",49.5067264573991,40.7,41.7
66,"PI 431893 LSP AGL","Iran","Asia",31.7614879649891,29.3,31.6
67,"ILL 2507 AGL","India","Asia",27.9203109815355,24.3,24.7
68,"ILL 2580 AGL","India","Asia",33.85,28.6,30
69,"ILL 28 AGL","Syria","Asia",77.9752066115703,68.6,66.3
70,"ILL 3025 AGL","India","Asia",25.0344827586207,23.5,25.4
71,"ILL 313 AGL","Israel","Asia",36.576297443842,30.7,31.8
72,"ILL 3347 AGL","India","Asia",27.4806800618238,22.4,26
73,"ILL 358 AGL","Ethiopia","Africa",44.9122807017544,37.8,37.8
74,"ILL 3597 AGL","India","Asia",24.9888143176734,21.6,24.7
75,"ILL 4164 AGL","India","Asia",43.9102564102564,36.8,38.4
76,"ILL 4400 AGL","Syria","Asia",65.0335570469799,55.9,58.9
77,"ILL 4605 AGL","Argentina","Americas",58.44,48.2,53.1
78,"ILL 4609 AGL","Netherlands","Europe",27.1926427879961,21.4,21.2
79,"ILL 4665 AGL","Hungary","Europe",64.582560296846,55.3,53.5
